id,season,date,arena,H_team,A_team_id,A_team,A_team_id,H_score,A_score,ref1,ref2,ref3,ties,leadChange,nugget
9166,2021,2021-12-10T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Los Angeles Lakers,17,108,95,Tom Washington,Bennie Adams,Pat Fraher,8,10,
9167,2021,2021-12-10T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,Denver Nuggets,9,123,111,Kevin Scott,Tyler Ford,Mousa Dagher,0,0,
9168,2021,2021-12-11T00:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Sacramento Kings,30,124,123,Sean Wright,Dedric Taylor,John Butler,6,12,
9169,2021,2021-12-11T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Dallas Mavericks,8,106,93,Eric Lewis,Nick Buchert,Matt Kallio,4,11,
9170,2021,2021-12-11T00:30:00.000Z,State Farm Arena,Atlanta Hawks,1,Brooklyn Nets,4,105,113,Ben Taylor,James Williams,Lauren Holtkamp,14,9,
9171,2021,2021-12-11T00:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,New York Knicks,24,90,87,Courtney Kirkland,Karl Lane,Jonathan Sterling,6,5,
9172,2021,2021-12-11T01:00:00.000Z,Toyota Center,Houston Rockets,14,Milwaukee Bucks,21,114,123,Matt Boland,Zach Zarba,Matt Myers,10,9,
9173,2021,2021-12-11T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Cleveland Cavaliers,7,106,123,Derek Richardson,David Guthrie,Aaron Smith,0,0,
9174,2021,2021-12-11T01:00:00.000Z,Smoothie King Center,New Orleans Pelicans,23,Detroit Pistons,10,109,93,Bill Kennedy,Curtis Blair,CJ Washington,3,4,
9175,2021,2021-12-11T01:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Los Angeles Lakers,17,95,116,Sean Corbin,John Goble,Ray Acosta,3,3,
9176,2021,2021-12-11T03:00:00.000Z,Footprint Center,Phoenix Suns,28,Boston Celtics,2,111,90,James Capers,Kevin Cutler,Natalie Sago,2,4,
9177,2021,2021-12-11T20:30:00.000Z,STAPLES Center,LA Clippers,16,Orlando Magic,26,106,104,Tyler Ford,Jacyn Goble,Danielle Scott,9,12,
9178,2021,2021-12-12T00:00:00.000Z,Capital One Arena,Washington Wizards,41,Utah Jazz,40,98,123,Scott Foster,Nick Buchert,Justin Van Duyne,11,12,
9179,2021,2021-12-12T01:00:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Sacramento Kings,30,117,103,Bennie Adams,Eric Lewis,Mark Lindsay,0,0,
9180,2021,2021-12-12T01:00:00.000Z,FTX Arena,Miami Heat,20,Chicago Bulls,6,118,92,Rodney Mott,Derrick Collins,John Conley,1,0,
